title,street_name_and_no,zip_code,city,country,website,domain,phone
Altstadt Café Cochem,Oberbachstraße 22,56812,Cochem,Deutschland,http://www.altstadt-hotel-cochem.de/,altstadt-hotel-cochem.de,+49 2671 7224
JugendCafé Cochem,Ravenestraße 10,56812,Cochem,Deutschland,https://jugendcafe-cochem.de/kontakt/,jugendcafe-cochem.de,+49 2671 9153774
Emily's Wein-Café,Markt 11,56812,Cochem,Deutschland,https://emilys-weincafe.eatbu.com/?lang=de,emilys-weincafe.eatbu.com,+49 170 1838391
Die Lohners,"Josef-Steib-Platz, 1",56812,Cochem,Deutschland,https://die-lohners.de/,die-lohners.de,+49 2671 91208
Bäckerei Gebr. Lutz GmbH & Co Kg,Ravenestraße 18,56812,Cochem,Deutschland,http://www.baeckerei-lutz.com/,baeckerei-lutz.com,+49 2671 605938
Bäckerei Cafe Fuhrmann,Ellerer Str. 1,56812,Cochem,Deutschland,https://www.baeckerei-cafe-fuhrmann.de/,baeckerei-cafe-fuhrmann.de,+49 2671 7253
Villa Krain Atelier-Café,Josef-von-Lauff-Straße 52,56812,Cochem,Deutschland,http://www.villakrain.de/,villakrain.de,+49 163 6520088
Sabrinas Küche,Schlossstraße 2,56812,Cochem,Deutschland,http://www.sabrinaskueche.de/,sabrinaskueche.de,+49 2671 8201
Restaurant zum Onkel Willi,Endertstraße 39,56812,Cochem,Deutschland,http://www.mosellandhotel-enderttal.de/,mosellandhotel-enderttal.de,+49 2671 7305
Bäckerei Gebr. Lutz GmbH & Co KG,Moselstraße 5,56818,Klotten,Deutschland,http://www.baeckerei-lutz.de/,baeckerei-lutz.de,+49 2671 9175570
Musikschmiede Kail,Hauptstraße 10,56829,Kail,Deutschland,https://musikschmiede-kail.de/events/,musikschmiede-kail.de,+49 171 3374610
Pension Bäckerei Café Dören,Klosterstraße 2,56814,Bruttig-Fankel,Deutschland,https://pension-backerei-cafe-doren.business.site/,pension-backerei-cafe-doren.business.site,+49 2671 980287
Kloster-Restaurant & Cafe,Klosterstraße 55,56814,Beilstein,Deutschland,https://klostercafe-beilstein.de/,klostercafe-beilstein.de,+49 2673 1674
Cafe Görgen,Bahnhofstraße 32,56859,Bullay,Deutschland,https://www.cafe-baeckerei-goergen.de/,cafe-baeckerei-goergen.de,+49 6542 2519
Kleine Cafehaus Moselkern,Moselstraße 29,56254,Moselkern,Deutschland,https://m.facebook.com/pages/Kleines-Caf%C3%A9haus/1431925297034293,m.facebook.com,
Café Zeit,Brunnenstraße 10,56761,Zettingen,Deutschland,https://www.schieferland-kaisersesch.de/a-cafe-zeit,schieferland-kaisersesch.de,
Cafe Roeschen,Pyrmonter Str. 7,56754,Roes,Deutschland,https://de-de.facebook.com/caferoeschen/,de-de.facebook.com,+49 2672 8440
Cafe in der kleinen Gasse,Lange Brücke 2,37574,Einbeck,Deutschland,https://cafe-in-der-kleinen-gasse.business.site/?utm_source=gmb&utm_medium=referral,cafe-in-der-kleinen-gasse.business.site,+49 5561 7099099
Altstadt Café,Maschenstraße 9,37574,Einbeck,Deutschland,http://www.altstadtcafe-einbeck.de/,altstadtcafe-einbeck.de,+49 5561 75353
Hofcafe zur Neumühle,Neumühle 1,56826,Lutzerath,Deutschland,https://hofcafezurneumuhle.de/cafe/,hofcafezurneumuhle.de,+49 2677 951212
Stadtcafe May,Burgfriedstraße 19,54550,Daun,Deutschland,http://www.stadtcafe-may.de/,stadtcafe-may.de,+49 6592 958516
Eifeler Scheunencafé,Holzmaarstraße 23,54558,Gillenfeld,Deutschland,http://www.eifeler-scheunencafe.de/,eifeler-scheunencafe.de,+49 6573 9526208
Café Maarblick Familie Lenerz,Maarstraße 16,54552,Schalkenmehren,Deutschland,https://www.cafe-maarblick.de/,cafe-maarblick.de,+49 6592 96660
Patisserie Schneiders,Zehnthofstraße 1,56829,Pommern,Deutschland,http://www.patisserie-schneiders.de/,patisserie-schneiders.de,+49 163 2357082
Kaffeelino Kaffeerösterei,Sollingstraße 56,37186,Moringen,Deutschland,http://www.kaffeelino.de/,kaffeelino.de,+49 5555 665
Restaurant-Café Ahrens,Am Münster 8,37154,Northeim,Deutschland,http://www.cafeahrens-partyservice.de/,cafeahrens-partyservice.de,+49 5551 5894778
Tortenschmiede- Helmut Dannhus,Schmiedestraße 65,49459,Lembruch,Deutschland,http://www.duemmer.de/gast-sein/gastronomie/ggv/tortenschmiede.html,duemmer.de,+49 5447 921621
Melchers 1715,Markt 2,49377,Vechta,Deutschland,http://melchers-vechta.de/,melchers-vechta.de,+49 4441 909820
Strandimbiss Achtern Diek,Seestraße 49,49459,Lembruch,Deutschland,http://achtern-diek-imbiss.de/,achtern-diek-imbiss.de,+49 5447 921077
B&K Gastro GmbH,An d. Mosel 15,56841,Traben-Trarbach,Deutschland,http://www.blume-kalkreuth.de/,blume-kalkreuth.de,+49 202 87057396
Augusta,Mittelstraße 12,56841,Traben-Trarbach,Deutschland,http://www.augusta-tt.de/,augusta-tt.de,+49 6541 810625
Kaffeehaus Alte Ratsschänke,Kirchstraße 19,56841,Traben-Trarbach,Deutschland,http://www.kaffeehaus-alte-ratsschaenke.de/,kaffeehaus-alte-ratsschaenke.de,+49 6541 8163935
Weinstube & Cafe Aacher Hof Traben-Trarbach,An d. Mosel 10,56841,Traben-Trarbach,Deutschland,http://www.aacherhof.de/,aacherhof.de,+49 6541 9343
Cafébar Léon,In den Hupen 17,56841,Traben-Trarbach,Deutschland,http://www.cafebar-leon.de/,cafebar-leon.de,+49 6541 812868
Cafe Alter Klosterhof,Burgstraße 95,54470,Bernkastel-Kues,Deutschland,https://www.alter-klosterhof-bernkastel.de/,alter-klosterhof-bernkastel.de,+49 6531 8454
Kleines Cafe,Moselweinstraße 29,54536,Kröv,Deutschland,http://www.kleines-cafe-kroev.de/,kleines-cafe-kroev.de,+49 6541 9060
Schöne Aussicht,Schlossstraße 14,56843,Starkenburg,Deutschland,http://www.moselsteig-lodge.de/,moselsteig-lodge.de,+49 6541 1698
Café im Stadtpalais,Gestade 2,54470,Bernkastel-Kues,Deutschland,https://www.bernkasteler-stadtpalais.de/,bernkasteler-stadtpalais.de,+49 6531 9736675
Cafe K,Nikolausufer 14,54470,Bernkastel-Kues,Deutschland,https://www.cafe-k.org/kontakt/,cafe-k.org,+49 6531 500714
Backhaus Obczernitzki,Zum Herrenberg 52,56850,Enkirch,Deutschland,http://www.backhaus-enkirch.de/,backhaus-enkirch.de,+49 6541 5355
