title,street_name_and_no,zip_code,city,country,website,domain,phone,impressum
Altstadt Café Cochem,Oberbachstraße 22,56812,Cochem,Deutschland,http://www.altstadt-hotel-cochem.de/,altstadt-hotel-cochem.de,+49 2671 7224,http://www.altstadt-hotel-cochem.de/impressum.html
Die Lohners,"Josef-Steib-Platz, 1",56812,Cochem,Deutschland,https://die-lohners.de/,die-lohners.de,+49 2671 91208,https://die-lohners.de/pages/impressum
Bäckerei Gebr. Lutz GmbH & Co Kg,Ravenestraße 18,56812,Cochem,Deutschland,http://www.baeckerei-lutz.com/,baeckerei-lutz.com,+49 2671 605938,https://www.baeckerei-lutz.de/impressum.html
Bäckerei Cafe Fuhrmann,Ellerer Str. 1,56812,Cochem,Deutschland,https://www.baeckerei-cafe-fuhrmann.de/,baeckerei-cafe-fuhrmann.de,+49 2671 7253,https://www.baeckerei-cafe-fuhrmann.de/Impressum
Villa Krain Atelier-Café,Josef-von-Lauff-Straße 52,56812,Cochem,Deutschland,http://www.villakrain.de/,villakrain.de,+49 163 6520088,https://www.villakrain.de/impressum.html
Sabrinas Küche,Schlossstraße 2,56812,Cochem,Deutschland,http://www.sabrinaskueche.de/,sabrinaskueche.de,+49 2671 8201,http://www.sabrinaskueche.de/Impressum/
Bäckerei Gebr. Lutz GmbH & Co KG,Moselstraße 5,56818,Klotten,Deutschland,http://www.baeckerei-lutz.de/,baeckerei-lutz.de,+49 2671 9175570,https://www.baeckerei-lutz.de/impressum.html
Kloster-Restaurant & Cafe,Klosterstraße 55,56814,Beilstein,Deutschland,https://klostercafe-beilstein.de/,klostercafe-beilstein.de,+49 2673 1674,https://klostercafe-beilstein.de/impressum/
Cafe Görgen,Bahnhofstraße 32,56859,Bullay,Deutschland,https://www.cafe-baeckerei-goergen.de/,cafe-baeckerei-goergen.de,+49 6542 2519,https://www.cafe-baeckerei-goergen.de/impressum.html
Café Zeit,Brunnenstraße 10,56761,Zettingen,Deutschland,https://www.schieferland-kaisersesch.de/a-cafe-zeit,schieferland-kaisersesch.de,,https://www.schieferland-kaisersesch.de/impressum
Altstadt Café,Maschenstraße 9,37574,Einbeck,Deutschland,http://www.altstadtcafe-einbeck.de/,altstadtcafe-einbeck.de,+49 5561 75353,http://www.altstadtcafe-einbeck.de/impressum.html
Stadtcafe May,Burgfriedstraße 19,54550,Daun,Deutschland,http://www.stadtcafe-may.de/,stadtcafe-may.de,+49 6592 958516,http://www.stadtcafe-may.de/impressum.html
Café Maarblick Familie Lenerz,Maarstraße 16,54552,Schalkenmehren,Deutschland,https://www.cafe-maarblick.de/,cafe-maarblick.de,+49 6592 96660,https://www.cafe-maarblick.de/impressum
Kaffeelino Kaffeerösterei,Sollingstraße 56,37186,Moringen,Deutschland,http://www.kaffeelino.de/,kaffeelino.de,+49 5555 665,http://www.kaffeelino.de/impressum.html
Restaurant-Café Ahrens,Am Münster 8,37154,Northeim,Deutschland,http://www.cafeahrens-partyservice.de/,cafeahrens-partyservice.de,+49 5551 5894778,http://www.cafeahrens-partyservice.de/#xl_xr_page_impressum
Tortenschmiede- Helmut Dannhus,Schmiedestraße 65,49459,Lembruch,Deutschland,http://www.duemmer.de/gast-sein/gastronomie/ggv/tortenschmiede.html,duemmer.de,+49 5447 921621,https://duemmer.de/impressum/
Melchers 1715,Markt 2,49377,Vechta,Deutschland,http://melchers-vechta.de/,melchers-vechta.de,+49 4441 909820,https://melchers-vechta.de/Impressum/
Strandimbiss Achtern Diek,Seestraße 49,49459,Lembruch,Deutschland,http://achtern-diek-imbiss.de/,achtern-diek-imbiss.de,+49 5447 921077,https://achtern-diek-imbiss.de/impressum/
B&K Gastro GmbH,An d. Mosel 15,56841,Traben-Trarbach,Deutschland,http://www.blume-kalkreuth.de/,blume-kalkreuth.de,+49 202 87057396,http://www.blume-kalkreuth.de/impressum
Augusta,Mittelstraße 12,56841,Traben-Trarbach,Deutschland,http://www.augusta-tt.de/,augusta-tt.de,+49 6541 810625,http://www.augusta-tt.de/impressum.html
Kaffeehaus Alte Ratsschänke,Kirchstraße 19,56841,Traben-Trarbach,Deutschland,http://www.kaffeehaus-alte-ratsschaenke.de/,kaffeehaus-alte-ratsschaenke.de,+49 6541 8163935,https://www.kaffeehaus-alte-ratsschaenke.de/impressum/
Cafébar Léon,In den Hupen 17,56841,Traben-Trarbach,Deutschland,http://www.cafebar-leon.de/,cafebar-leon.de,+49 6541 812868,https://www.prointernet.de/impressum
Kleines Cafe,Moselweinstraße 29,54536,Kröv,Deutschland,http://www.kleines-cafe-kroev.de/,kleines-cafe-kroev.de,+49 6541 9060,http://www.kleines-cafe-kroev.de/impressum.htm
Backhaus Obczernitzki,Zum Herrenberg 52,56850,Enkirch,Deutschland,http://www.backhaus-enkirch.de/,backhaus-enkirch.de,+49 6541 5355,http://www.backhaus-enkirch.de/impressum
Park Café Trattoria-Pizzeria,Dr.-Marx-Straße 2,54470,Bernkastel-Kues,Deutschland,http://park-cafe.eu/,park-cafe.eu,+49 6531 6127,https://park-cafe.eu/impressum/
"Coffee Fellows - Kaffee, Bagels, Frühstück","K2, Sicherheitsbereich Halle A+B, Flugplatz Hahn Gebäude 500",55483,Lautzenhausen,Deutschland,https://coffee-fellows.com/locations/frankfurt-hahn-airside,coffee-fellows.com,+49 6543 509113,https://coffee-fellows.com/impressum
Backhaus & Cafe Schrey Kirchberg,Hauptstraße 75,55481,Kirchberg (Hunsrück),Deutschland,http://www.schrey.cafe/,schrey.cafe,+49 6763 9390130,http://www.schrey.cafe/impressum
Café & Kino Heimat,Biergasse 5,54497,Morbach,Deutschland,http://cafe-heimat-morbach.de/,cafe-heimat-morbach.de,+49 6533 9588203,https://www.cafe-heimat-morbach.de/impressum
Café Hansen,Fährstraße 2,54492,Zeltingen-Rachtig,Deutschland,http://www.cafe-hansen.de/,cafe-hansen.de,+49 6532 3152,http://www.cafe-hansen.de/impressum.html
"Weingut Borchert, Restaurant & Café",Oberbachstraße 30,56814,Ediger-Eller,Deutschland,http://www.moselhof.de/,moselhof.de,+49 2675 1560,https://www.ediger-mosel.de/kontakt-anfahrt/impressum/
Hotel-Restaurant Elfenmühle,Kurfürstenstraße 1,56864,Bad Bertrich,Deutschland,http://www.elfenmuehle.de/,elfenmuehle.de,+49 2674 9136828,http://www.elfenmuehle.de/impressum.html
Pizzeria Ristorante Mammamia,Clara-Viebig-Straße 1,56864,Bad Bertrich,Deutschland,http://www.mammamia-sophie.de/,mammamia-sophie.de,+49 2674 2490231,http://www.mammamia-sophie.de/Impressum/
Hotel - Restaurant Zumbusch,Kurfürstenstraße 38,56864,Bad Bertrich,Deutschland,http://www.hotel-zumbusch.de/,hotel-zumbusch.de,+49 2674 265,http://www.hotel-zumbusch.de/impressum.php
Carpe Diem,Feldstraße 11,54516,Wittlich,Deutschland,http://www.carpediem-wittlich.de/,carpediem-wittlich.de,+49 6571 1480888,http://www.carpediem-wittlich.de/ImpressumDatenschutz
Café Flesch Bäckerei Hauptgeschäft Landscheid,Hauptstraße 70-72,54526,Landscheid,Deutschland,http://www.cafe-flesch.de/,cafe-flesch.de,+49 6575 8688,https://www.cafe-flesch.de/impressum
BobaDöpp,Im Eck 2,56858,Peterswald-Löffelscheid,Deutschland,http://www.bobadoepp.com/kontakt,bobadoepp.com,+49 160 4418808,http://www.bobadoepp.com/impressum
Sichtbar Kastellaun,Bopparder Str. 1,56288,Kastellaun,Deutschland,http://sichtbar-kastellaun.de/,sichtbar-kastellaun.de,,http://sichtbar-kastellaun.de/impressum
Bäckerei Dhein,Gemündener Str. 10,55469,Simmern (Hunsrück),Deutschland,http://www.baeckerei-dhein.de/,baeckerei-dhein.de,+49 6761 9162322,https://baeckerei-dhein.de/impressum/
